id,score
강남구,86
강동구,49
강북구,42
강서구,69
관악구,53
광진구,39
구로구,25
금천구,26
노원구,59
도봉구,50
동대문구,31
동작구,46
마포구,63
서대문구,39
서초구,59
성동구,50
성북구,29
송파구,72
양천구,48
영등포구,46
용산구,43
은평구,50
종로구,18
중구,19
중랑구,51
