id,score
강남구,80
서초구,70
강동구,50
송파구,20
서초구,30
관악구,50
동작구,120
영등포구,100
금천구,20
구로구,10
강서구,30
양천구,40
마포구,100
서대문구,110
은평구,90
노원구,110
도봉구,70
강북구,80
성북구,100
중랑구,90
동대문구,30
광진구,90
성동구,100
용산구,20
중구,50
종로구,90

