시설 분류,비율
동반 카페,1.88
펫 카페,1.88
교육센터,7.19
병원,6.59
동반 호텔,1.421
애견미용실,32.19
애완용품샵,2.57
유치원,6.85
놀이터,16.26
공원,1.88
약국,6.59
동반 식당,1.88
